age,job,marital,education,default,housing,loan,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Deposit
55,management,single,basic.4y,no,no,no,1.4,94.465,-41.8,4.962,5228.1,0
32,admin.,married,professional.course,no,no,no,-1.8,92.893,-46.2,1.299,5099.1,0
25,self-employed,married,university.degree,no,yes,no,-2.9,92.963,-40.8,1.268,5076.2,0
57,management,married,professional.course,unknown,yes,no,-0.1,93.2,-42.0,4.076,5195.8,0
55,unknown,married,university.degree,no,yes,no,-2.9,92.963,-40.8,1.26,5076.2,0
43,technician,single,university.degree,no,yes,no,1.4,93.918,-42.7,4.957,5228.1,0
53,services,married,basic.9y,unknown,yes,no,1.4,93.444,-36.1,4.97,5228.1,0
36,technician,married,professional.course,unknown,yes,no,1.1,93.994,-36.4,4.857,5191.0,0
34,blue-collar,married,basic.9y,unknown,no,no,1.4,94.465,-41.8,4.962,5228.1,0
30,technician,divorced,professional.course,unknown,yes,no,1.4,93.444,-36.1,4.965,5228.1,0
43,blue-collar,married,basic.6y,no,no,no,1.4,93.918,-42.7,4.962,5228.1,0
35,blue-collar,divorced,high.school,no,yes,no,-1.8,92.893,-46.2,1.344,5099.1,0
40,admin.,married,university.degree,no,yes,no,-2.9,92.469,-33.6,1.044,5076.2,1
31,technician,single,professional.course,no,no,no,1.4,93.444,-36.1,4.967,5228.1,0
34,management,married,university.degree,no,no,no,-1.8,92.843,-50.0,1.799,5099.1,1
42,admin.,married,university.degree,no,yes,yes,1.4,93.918,-42.7,4.962,5228.1,0
52,blue-collar,married,basic.9y,no,no,no,1.4,94.465,-41.8,4.864,5228.1,0
38,blue-collar,married,basic.6y,unknown,yes,yes,-0.1,93.2,-42.0,4.021,5195.8,0
25,blue-collar,single,high.school,no,no,no,1.1,93.994,-36.4,4.857,5191.0,0
55,blue-collar,married,high.school,no,no,no,-1.8,92.893,-46.2,1.344,5099.1,0
44,blue-collar,married,basic.6y,no,no,yes,-1.8,92.893,-46.2,1.327,5099.1,0
29,services,single,high.school,no,yes,no,1.4,94.465,-41.8,4.866,5228.1,1
70,retired,married,basic.4y,no,yes,no,-3.0,92.713,-33.0,0.715,5023.5,0
41,blue-collar,married,basic.4y,no,no,no,1.4,94.465,-41.8,4.958,5228.1,0
43,admin.,married,university.degree,no,no,no,1.4,93.444,-36.1,4.964,5228.1,0
53,management,married,university.degree,no,no,no,-1.8,92.893,-46.2,1.244,5099.1,0
39,technician,married,professional.course,no,yes,no,1.4,94.465,-41.8,4.959,5228.1,0
33,blue-collar,married,high.school,unknown,no,no,-1.8,92.893,-46.2,1.291,5099.1,0
30,blue-collar,single,high.school,no,no,no,-1.8,92.893,-46.2,1.281,5099.1,0
28,services,married,high.school,no,yes,no,1.4,93.918,-42.7,4.962,5228.1,0
56,blue-collar,married,basic.9y,no,yes,no,1.4,93.918,-42.7,4.962,5228.1,0
33,admin.,married,university.degree,no,no,yes,1.4,93.444,-36.1,4.966,5228.1,0
40,admin.,single,university.degree,no,no,no,1.4,93.918,-42.7,4.962,5228.1,0
70,retired,divorced,high.school,no,yes,no,-1.8,93.876,-40.0,0.697,5008.7,1
55,admin.,married,high.school,no,yes,no,1.4,93.918,-42.7,4.962,5228.1,0
48,management,married,university.degree,no,yes,no,1.1,93.994,-36.4,4.856,5191.0,0
44,blue-collar,divorced,unknown,no,no,yes,1.4,94.465,-41.8,4.865,5228.1,0
67,unknown,divorced,unknown,unknown,yes,no,-1.1,94.199,-37.5,0.88,4963.6,1
53,retired,married,basic.9y,unknown,no,no,1.4,93.918,-42.7,4.963,5228.1,0
29,admin.,single,university.degree,no,yes,no,1.4,93.444,-36.1,4.965,5228.1,0
56,technician,married,professional.course,no,yes,no,1.4,93.918,-42.7,4.961,5228.1,0
41,self-employed,married,unknown,unknown,no,no,-1.8,92.893,-46.2,1.334,5099.1,0
